mode,vol_min,trend_min,months,coverage,equity_multiple,avg_max_dd%,trades
pos,0.012,-0.05,2,3.28,0.691152,28.73,68
pos,0.012,0.0,2,3.28,0.691152,28.73,68
pos,0.012,0.05,2,3.28,0.691152,28.73,68
pos,0.012,0.1,2,3.28,0.691152,28.73,68
pos,0.012,0.2,2,3.28,0.691152,28.73,68
pos,0.01,0.1,5,8.2,0.571857,30.15,209
pos,0.01,0.2,5,8.2,0.571857,30.15,209
neg,0.012,-0.05,2,3.28,0.568835,36.31,89
neg,0.012,0.0,2,3.28,0.568835,36.31,89
neg,0.012,0.05,2,3.28,0.568835,36.31,89
neg,0.012,0.1,2,3.28,0.568835,36.31,89
neg,0.012,0.2,2,3.28,0.568835,36.31,89
neg,0.01,-0.05,3,4.92,0.440736,36.57,146
neg,0.01,0.0,3,4.92,0.440736,36.57,146
neg,0.01,0.05,3,4.92,0.440736,36.57,146
neg,0.01,0.1,3,4.92,0.440736,36.57,146
neg,0.01,0.2,3,4.92,0.440736,36.57,146
abs,0.012,-0.05,4,6.56,0.393152,32.52,157
abs,0.012,0.0,4,6.56,0.393152,32.52,157
abs,0.012,0.05,4,6.56,0.393152,32.52,157
abs,0.012,0.1,4,6.56,0.393152,32.52,157
abs,0.012,0.2,4,6.56,0.393152,32.52,157
pos,0.01,-0.05,6,9.84,0.357474,31.78,254
pos,0.01,0.0,6,9.84,0.357474,31.78,254
pos,0.01,0.05,6,9.84,0.357474,31.78,254
pos,0.008,0.1,8,13.11,0.342827,27.12,321
pos,0.008,0.2,8,13.11,0.342827,27.12,321
abs,0.01,0.1,8,13.11,0.252038,32.56,355
abs,0.01,0.2,8,13.11,0.252038,32.56,355
pos,0.008,-0.05,9,14.75,0.214305,28.55,366
pos,0.008,0.0,9,14.75,0.214305,28.55,366
pos,0.008,0.05,9,14.75,0.214305,28.55,366
neg,0.008,-0.05,5,8.2,0.200776,36.44,245
neg,0.008,0.0,5,8.2,0.200776,36.44,245
neg,0.008,0.05,5,8.2,0.200776,36.44,245
neg,0.008,0.1,5,8.2,0.200776,36.44,245
neg,0.008,0.2,5,8.2,0.200776,36.44,245
abs,0.01,-0.05,9,14.75,0.157552,33.38,400
abs,0.01,0.0,9,14.75,0.157552,33.38,400
abs,0.01,0.05,9,14.75,0.157552,33.38,400
pos,0.006,0.1,14,22.95,0.134094,25.55,577
pos,0.006,0.2,14,22.95,0.134094,25.55,577
pos,0.006,0.05,15,24.59,0.083824,26.51,622
pos,0.006,-0.05,17,27.87,0.0703,25.75,705
pos,0.006,0.0,16,26.23,0.069446,26.22,658
abs,0.008,0.1,13,21.31,0.068831,30.71,566
abs,0.008,0.2,13,21.31,0.068831,30.71,566
neg,0.006,0.2,9,14.75,0.06104,33.37,438
pos,0.004,0.2,21,34.43,0.056025,22.51,861
neg,0.006,0.1,10,16.39,0.043815,32.86,490
abs,0.008,-0.05,14,22.95,0.043027,31.37,611
abs,0.008,0.0,14,22.95,0.043027,31.37,611
abs,0.008,0.05,14,22.95,0.043027,31.37,611
pos,0.004,0.1,24,39.34,0.037063,21.72,976
neg,0.006,0.0,12,19.67,0.028243,32.06,585
neg,0.006,-0.05,11,18.03,0.0279,33.32,538
neg,0.006,0.05,11,18.03,0.0279,33.32,538
pos,0.004,0.05,26,42.62,0.019553,22.29,1060
pos,0.004,0.0,29,47.54,0.00996,22.46,1198
abs,0.006,0.2,23,37.7,0.008185,28.61,1015
pos,0.004,-0.05,31,50.82,0.007682,22.44,1299
neg,0.004,0.2,15,24.59,0.007488,32.94,728
abs,0.006,0.1,24,39.34,0.005875,28.59,1067
abs,0.006,-0.05,26,42.62,0.002339,29.39,1160
abs,0.006,0.05,26,42.62,0.002339,29.39,1160
abs,0.006,0.0,28,45.9,0.001961,28.72,1243
neg,0.004,0.1,19,31.15,0.001558,33.03,921
neg,0.004,-0.05,22,36.07,0.000444,33.51,1060
neg,0.004,0.05,22,36.07,0.000444,33.51,1060
abs,0.004,0.2,36,59.02,0.000419,26.85,1589
neg,0.004,0.0,24,39.34,0.000342,32.56,1161
abs,0.004,0.1,43,70.49,5.8e-05,26.72,1897
abs,0.004,-0.05,48,78.69,9e-06,27.43,2120
abs,0.004,0.05,48,78.69,9e-06,27.43,2120
abs,0.004,0.0,53,86.89,3e-06,27.03,2359
