t,entry,exit,gross_pct,net_pct,peak,stop,runner
2025-08-17 00:14:59.999000+00:00,188.73,189.03,0.159,-0.041,189.6,189.10746,1
2025-08-17 09:44:59.999000+00:00,193.41,191.77,-0.8479,-1.0479,193.41,192.4425,0
2025-08-17 19:14:59.999000+00:00,192.12,192.7,0.3019,0.1019,192.7,191.231071,0
2025-08-18 00:44:59.999000+00:00,190.01,190.03,0.0105,-0.1895,190.03,190.203636,0
2025-08-20 13:59:59.999000+00:00,178.67,178.85,0.1007,-0.0993,181.89,179.447143,1
2025-08-21 02:14:59.999000+00:00,189.09,187.02,-1.0947,-1.2947,189.09,187.733571,0
2025-08-21 09:29:59.999000+00:00,184.61,184.75,0.0758,-0.1242,184.75,183.451429,0
2025-08-23 01:29:59.999000+00:00,198.5,197.51,-0.4987,-0.6987,198.5,196.980714,0
2025-08-23 13:59:59.999000+00:00,201.07,201.49,0.2089,0.0089,201.49,200.566364,0
2025-08-24 03:14:59.999000+00:00,204.39,207.77,1.6537,1.4537,211.4,207.8875,1
2025-08-24 08:14:59.999000+00:00,206.66,207.29,0.3048,0.1048,207.29,206.119545,0
2025-08-24 11:29:59.999000+00:00,204.53,204.09,-0.2151,-0.4151,204.53,206.021364,0
2025-08-24 14:44:59.999000+00:00,205.48,205.11,-0.1801,-0.3801,205.48,206.159091,0
2025-08-25 06:14:59.999000+00:00,203.71,203.78,0.0344,-0.1656,203.78,202.5,0
