ym,train_months,BB_PERIOD,BB_K,equity_multiple,max_drawdown_pct,trades,win_rate_pct,avg_trade_ret_pct,bh_month_mult,cum_strat_mult,cum_bh_mult,vol_min,trend_max,min_bars
2021-06,6,20,2.6,1.305805,8.16,30,83.33,0.9266,1.0888296078251003,1.305805,1.0888296078251003,0.004,0.35,900
2021-07,6,20,2.6,1.008059,13.52,32,56.25,0.0433,1.0433893684688778,1.3163284824950001,1.1360732368788473,0.004,0.35,900
2021-08,6,20,2.0,1.533946,9.41,52,76.92,0.7867,3.024132730015083,2.0191768104092755,3.4356362593395007,0.004,0.35,900
2021-10,6,20,2.0,1.053051,9.67,53,62.26,0.1075,1.4294084427502471,2.126296159378298,4.9109274753187595,0.004,0.35,900
2021-12,6,20,2.0,0.946733,21.61,58,60.34,-0.0762,0.8081293082956977,2.0130347418566945,3.9686644237196864,0.004,0.35,900
2022-01,6,20,2.0,0.57297,44.3,58,39.66,-0.9233,0.5823236757389523,1.1534085160416303,2.3110472549948584,0.004,0.35,900
2022-03,6,20,2.4,0.984336,10.49,34,55.88,-0.0381,1.2212274942803143,1.135341525046354,2.8223144483807694,0.004,0.35,900
2022-04,6,20,2.4,0.840994,19.49,34,52.94,-0.3308,0.6806337461798294,0.9548154105148335,1.9209624558988618,0.004,0.35,900
2022-05,6,16,2.6,1.17738,8.93,31,67.74,0.6064,0.5387241054613937,1.1241805680319548,1.0348687806790362,0.004,0.35,900
2022-07,6,16,2.4,1.128616,4.85,43,65.12,0.3181,1.2592922985429675,1.2687681759699527,1.3032022855116616,0.004,0.35,900
2022-08,6,16,2.2,0.871672,17.69,53,52.83,-0.2572,0.7422243166823752,1.1059496934840807,0.9672684258628027,0.004,0.35,900
2022-09,6,16,2.2,1.011526,9.53,58,60.34,0.034,1.0485651214128036,1.118696869651178,1.0142439344036012,0.004,0.35,900
2022-10,6,16,2.4,0.942621,10.5,46,56.52,-0.1161,0.983388704318937,1.0545071619674633,0.9973960285164982,0.004,0.35,900
2023-01,6,16,2.4,1.013182,9.11,38,60.53,0.0433,2.404020100502513,1.0684076753765184,2.3977601007150393,0.004,0.35,900
2023-03,6,16,2.4,0.872907,17.66,52,44.23,-0.2491,0.96709323583181,0.9326205386898905,2.3188575745489137,0.004,0.35,900
2023-04,6,20,2.4,0.978327,6.96,37,59.46,0.0059,1.0706214689265536,0.9124078537548644,2.4826187026950235,0.004,0.35,900
2023-05,6,20,2.4,0.912376,11.65,47,48.94,-0.1888,0.9127192982456139,0.8324590279774482,2.265934000135238,0.004,0.35,900
2023-07,6,20,2.4,1.067212,6.45,38,68.42,0.2263,1.2555555555555558,0.8884102641658684,2.8450060223920217,0.004,0.35,900
2023-08,6,20,2.4,0.874634,13.31,38,39.47,-0.3466,0.8315080033698399,0.7770338229884501,2.36564527725436,0.004,0.35,900
2023-09,6,12,2.6,0.966473,4.91,18,66.67,-0.1836,1.0803842264914054,0.7509822100051164,2.555805843019498,0.004,0.35,900
2024-02,6,12,2.6,0.975531,6.05,16,56.25,-0.1503,1.289025641025641,0.7326064263085013,3.2944992651352876,0.004,0.35,900
2024-03,6,20,2.2,1.228015,8.5,44,63.64,0.4838,1.588590709353421,0.8996516806032342,5.233610924565591,0.004,0.35,900
2024-06,6,16,2.2,0.845448,16.59,53,43.4,-0.3093,0.8826610475617099,0.7606087140626431,4.619504501207474,0.004,0.35,900
2024-07,6,20,2.0,0.956208,13.88,60,63.33,-0.0042,1.1739249333424489,0.7273001372564117,5.422951513655126,0.004,0.35,900
2024-08,6,20,2.0,0.830559,18.02,55,47.27,-0.3052,0.7858677350055159,0.6040656746995481,4.261722623080888,0.004,0.35,900
2024-09,6,20,2.0,0.9838,6.1,53,52.83,-0.0279,1.1253044055789243,0.5942798107694154,4.795735243108293,0.004,0.35,900
2025-01,6,12,2.6,0.939058,8.11,19,47.37,-0.315,1.2165765576610152,0.5580632105415056,5.8343790735143,0.004,0.35,900
2025-02,6,16,2.6,0.832931,16.71,25,36.0,-0.7129,0.6365393702478629,0.4648281480195468,3.713811981242102,0.004,0.35,900
2025-04,6,12,2.6,0.972568,6.93,19,47.37,-0.1384,1.1860128617363344,0.4520769822630746,4.404628775823631,0.004,0.35,900
2025-05,6,12,2.6,1.056162,0.8,14,57.14,0.3942,1.0558817574407775,0.4774665297409334,4.650767172690876,0.004,0.35,900
2025-09,6,12,2.6,0.970505,2.95,4,0.0,-0.7449,1.0716428357164283,0.46338365444622454,4.983961321199326,0.004,0.35,900
